61,Never-worked,77516,Preschool,13, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,16,Mexico, <=50K
63,State-gov,83311,Preschool,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20,United-States, <=50K
61,State-gov,215646,Doctorate,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,3,United-States, <=50K
71,Private,234721,Doctorate,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,12,United-States, <=50K
67,Private,338409,Preschool,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,15,India, <=50K
67,Never-worked,284582,Doctorate,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,18,United-States, <=50K
73,Never-worked,160187,Doctorate,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0,0,19,United-States, <=50K
63,Private,209642,Preschool,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,10,India, >50K
63,Private,45781,Doctorate,14, Never-married, Prof-specialty, Not-in-family, White, Female,14084,0,13,United-States, >50K
70,Never-worked,159449,Preschool,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,17,India, >50K
67,Private,280464,1st-4th,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,20,India, >50K
60,Private,141297,1st-4th,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,20,United-States, >50K
76,Private,122272,Preschool,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,9,Mexico, <=50K
77,State-gov,205019,1st-4th,12, Never-married, Sales, Not-in-family, Black, Male,0,0,14,India, <=50K
67,Private,121772,Preschool,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,12,India, >50K
71,Private,245487,Preschool,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,32,United-States, <=50K
75,Private,176756,1st-4th,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,8,India, <=50K
60,State-gov,186824,Doctorate,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,10,United-States, <=50K
65,Never-worked,28887,1st-4th,7, Married-civ-spouse, Sales, Husband, White, Male,0,0,13,Mexico, <=50K
60,State-gov,292175,Doctorate,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,15,Mexico, >50K
64,State-gov,193524,1st-4th,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,16,Mexico, >50K
60,Private,302146,1st-4th,9, Separated, Other-service, Unmarried, Black, Female,0,0,13,Mexico, <=50K
61,State-gov,76845,Doctorate,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,17,India, <=50K
64,Never-worked,117037,Doctorate,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2042,13,Mexico, <=50K
69,Never-worked,109015,Doctorate,9, Divorced, Tech-support, Unmarried, White, Female,0,0,18,Mexico, <=50K
78,Never-worked,216851,Preschool,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,16,India, >50K
78,Private,168294,Preschool,9, Never-married, Craft-repair, Own-child, White, Male,0,0,6,Mexico, <=50K
73,Never-worked,180211,Preschool,10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,0,0,10,India, >50K
70,Never-worked,367260,Doctorate,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,11,United-States, <=50K
69,Never-worked,193366,Doctorate,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,10,Mexico, <=50K
62,Never-worked,190709,1st-4th,12, Never-married, Protective-serv, Not-in-family, White, Male,0,0,17,India, <=50K
71,Never-worked,266015,Preschool,10, Never-married, Sales, Own-child, Black, Male,0,0,11,India, <=50K
75,Never-worked,386940,1st-4th,13, Divorced, Exec-managerial, Own-child, White, Male,0,1408,13,Mexico, <=50K
76,Private,59951,Doctorate,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,18,India, <=50K
60,Never-worked,311512,Preschool,10, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,19,Mexico, <=50K
60,State-gov,242406,1st-4th,7, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,19,India, <=50K
63,Never-worked,197200,1st-4th,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,17,India, <=50K
